name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
77494,2024-01-16T00:00:00,25.8,12.5,21.6,83.58,0,0,,0,0,27.3,18.2,358,1025.4,100,9.9,0,0,0,10,Overcast,cloudy,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2024-01-16T01:00:00,25.3,10.9,19.7,79.12,0,0,,0,0,32.9,21,1,1025.7,99.2,9.9,0,0,0,10,Overcast,cloudy,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2024-01-16T02:00:00,23.8,8,16.9,74.55,0,0,,0,0,32.2,24,360,1025.7,64.9,9.9,0,0,0,10,Partially cloudy,partly-cloudy-night,"72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2024-01-16T03:00:00,23,8.2,16.2,74.89,0,0,,0,0,32,20,5,1026.7,66.5,9.9,0,0,0,10,Partially cloudy,partly-cloudy-night,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2024-01-16T04:00:00,21.8,8.5,15.9,77.59,0,0,,0,0,29,15,359,1027,86.9,9.9,0,0,0,10,Partially cloudy,partly-cloudy-night,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2024-01-16T05:00:00,20.2,5.4,12.8,72.63,0,0,,0,0,29.3,17.3,352,1027.6,44.2,9.9,0,0,0,10,Partially cloudy,partly-cloudy-night,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2024-01-16T06:00:00,20,5.6,11,67.54,0,0,,0,0,24.2,16.3,352,1028.8,18,9.9,0,0,0,10,Clear,clear-night,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2024-01-16T07:00:00,18.9,4.6,9.1,65.02,0,0,,0,0,27.3,15.4,350,1030.1,18,9.9,0,0,0,10,Clear,clear-night,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2024-01-16T08:00:00,18.8,4.5,8.3,62.97,0,0,,0,0,27,15.6,347,1030.5,0,9.9,65,0.2,1,10,Clear,clear-day,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2024-01-16T09:00:00,21.4,6.4,8,55.86,0,0,,0,0,32.5,19,351,1030.9,0,9.9,255,0.9,3,10,Clear,clear-day,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2024-01-16T10:00:00,24.1,11.4,9.5,53.08,0,0,,0,0,30.4,15.4,7,1031.2,0,9.9,362,1.3,4,10,Clear,clear-day,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2024-01-16T11:00:00,26.2,13.5,9.7,49.16,0,0,,0,0,27.6,16.7,354,1030.8,0,9.9,591,2.1,6,10,Clear,clear-day,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2024-01-16T12:00:00,28.1,15.2,10.3,46.58,0,0,,0,0,28.9,19,348,1030.4,0,9.9,663,2.4,7,10,Clear,clear-day,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2024-01-16T13:00:00,30.1,19.6,10.9,44.3,0,0,,0,0,24.8,13.7,346,1029.7,0,9.9,666,2.4,7,10,Clear,clear-day,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2024-01-16T14:00:00,31.3,22.5,11.9,44.01,0,0,,0,0,21.1,10.6,334,1029,0,9.9,610,2.2,6,10,Clear,clear-day,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2024-01-16T15:00:00,33.3,22.9,11.8,40.57,0,0,,0,0,22.4,15.8,343,1028.5,0,9.9,487,1.8,5,10,Clear,clear-day,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2024-01-16T16:00:00,34,25.7,12.2,40.01,0,0,,0,0,18.3,11.2,358,1028.1,0,9.9,313,1.1,3,10,Clear,clear-day,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2024-01-16T17:00:00,32.6,23.9,11.7,41.49,0,0,,0,0,19.8,11.2,341,1028.1,0,9.9,76,0.3,1,10,Clear,clear-day,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2024-01-16T18:00:00,30.7,21.2,11.8,44.89,0,0,,0,0,17.2,11.7,355,1028.8,0,9.9,0,0,0,10,Clear,clear-night,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2024-01-16T19:00:00,29.3,21.2,12.1,48.22,0,0,,0,0,17.2,8.5,353,1029.5,16,9.9,0,0,0,10,Clear,clear-night,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2024-01-16T20:00:00,28.2,19.4,11.5,49.09,0,0,,0,0,20.8,9.3,348,1030,16,9.9,0,0,0,10,Clear,clear-night,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2024-01-16T21:00:00,27,18.1,11.7,51.93,0,0,,0,0,18.3,9,348,1030.1,4.9,9.9,0,0,0,10,Clear,clear-night,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2024-01-16T22:00:00,26.2,19.2,11.1,52.2,0,0,,0,0,11.4,6.2,356,1030.6,4.9,9.9,0,0,0,10,Clear,clear-night,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
77494,2024-01-16T23:00:00,25.4,18.4,11.9,56.11,0,0,,0,0,16.1,5.9,352,1030.7,9,9.9,0,0,0,10,Clear,clear-night,"KSGR,72254312977,72059400188,72242953910,KAXH,KMCJ,E1268"
